id,timestamp,sender,reply_to,content
5,27.03.2021 07:46:55,Āgenskalna klīnika,,"Svētdien kā ierasts, plkst. 20.00 skatāmies Brīvvalsts TV ziņas. Svaiga gaisa malks mūsu ikdienā. Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem #brivvalststv"
9,27.03.2021 07:48:25,User,,.
10,27.03.2021 23:16:17,User,5.0,
12,28.03.2021 12:19:05,User,,.
13,28.03.2021 19:17:23,User,11.0,"Es atvainojos. Bet kurš maskas uzskata par panaceju? Tas ir viens, no lielas piesardzības pasākumu grupas, kuri pat kopā slimības R samazina tikai pa kādiem 50-70%"
15,29.03.2021 21:45:53,User,,.
16,30.03.2021 09:29:13,User,11.0,Super!!
21,31.03.2021 14:16:52,User,,.
23,31.03.2021 22:00:43,User,20.0,Kruto! Piekrītu ar katru vārdu!!!
24,01.04.2021 15:47:14,User,,"Šodien Ministru Kabinets paziņoja, ka atzīst par nepamatotiem uzliktos absurdos ierobežojumus, ar kuriem Latvijas iedzīvotajiem bija jāsaskaras šo ilgo peļņas laika periodu. Ministru Kabinets atvainojas visiem Latvijas iedzīvotājiem, kuri saskārās ar veselības problēmām, dēļ psihi degradējošās informācijas sludināšanas masu mēdijos. Ministru Kabinets atvainojas visiem tiem, kuri ir zaudējuši savus tuviniekus dēļ nepareizas slimības diagnozes noteikšanas, saistībā ar attiecīgo vienīgo slimību. Ministru Kabinets atvainojas visiem Latvijas iedzīvotājiem par morālo un materiālo kaitējumu, kas nodarīts, pārkāpjot  Latvijas konstitūciju un vispārējās Cilvēktiesības."
26,01.04.2021 15:48:56,User,,.
27,01.04.2021 15:49:42,User,25.0,Es uzķēros! 😅
29,01.04.2021 16:14:59,User,25.0,Es arī.😒
30,01.04.2021 16:31:21,User,25.0,"Labs! :) Cinisks jocinjsh :D nu mazliet ;)Bet ar atvainoshanos nedriiksteetu pietikt. Kaut kam looooti bargam jaabuut, un cerams buus, agri vai veelu.Par tribunaalu pakalpinjiem!"
33,01.04.2021 16:51:33,User,30.0,"Tieši tā. Par izpostītām cilvēku dzīvēm, genocīdu un vairāku citu likumu apzinātiem pārkāpumiem ir ne tikai jāatvainojas, bet gan nopietni atbildēt. Vismaz tādēļ lai tie nākamie, kuri iedomāsies kaut ko tādu atkārtot, labi padomā pirms sākt noziegumus pret cilvēkiem."
34,01.04.2021 17:08:22,User,24.0,"Tā būs!!! Šodien ir smieklīgi to dzirdēt, bet būs noteikti!!!"
35,01.04.2021 18:54:59,User,25.0,👏👏👏
36,01.04.2021 20:13:17,User,25.0,Es ne.
